gene
CAPN12
KCNN4
CCDC8
IL4I1
FBXO17
LILRB3
LENG9
FAM71E2
TMC4
CGB7
PLEKHF1
NLRP12
OSCAR
VSIG10L
LILRA5
PLD3
RRAS
VASP
RCN3
BCL3
B3GNT8
PLAUR
CCDC114
TULP2
SCN1B
