Gene Symbol,-2_diff,-1_diff,0_diff,1_diff,2_diff
EGFR,0.0,0.25,-63.22,26.89,36.08
LANCL2,0.0,0.42,-62.41,38.85,23.13
LOC285878,0.0,0.77,-60.64,42.09,17.79
SEC61G,0.0,0.42,-62.45,31.93,30.12
VOPP1,-0.2,0.59,-61.19,42.59,18.19
VSTM2A,0.0,0.77,-60.64,42.09,17.79
