,log_rank,p_value,survival
CALU,148.7843751,3.20E-34,low
ADAM22,108.0330738,2.64E-25,high
KDELR2,121.975236,2.34E-28,low
PDIA4,118.17431,1.59E-27,low
PSMC2,111.7593023,4.03E-26,low
CHPF2,111.0810998,5.68E-26,low
CALN1,103.1643042,3.08E-24,high
AMZ1,97.21877646,6.21E-23,high
VSTM2A,89.72433412,2.74E-21,high
FAM20C,109.9244577,1.02E-25,low
MMD2,85.33449982,2.52E-20,high
CALD1,108.3125194,2.30E-25,low
PON1,77.17579919,1.56E-18,high
SLC4A2,108.2670355,2.35E-25,low
IGF2BP3,108.0291953,2.65E-25,low
GUSB,105.3012586,1.05E-24,low
TTC26,104.8360278,1.33E-24,low
ACTL6B,71.92949169,2.23E-17,high
VWC2,71.16571273,3.28E-17,high
PLOD3,104.0074757,2.02E-24,low
ZYX,103.9470214,2.08E-24,low
COL1A2,102.484748,4.35E-24,low
FKBP9,102.3530486,4.65E-24,low
NAMPT,94.32920352,2.67E-22,low
SHFM1,92.30928154,7.41E-22,low
EN2,90.84938678,1.55E-21,low
PCOLCE,89.69484843,2.78E-21,low
MYO1G,89.23119791,3.51E-21,low
CLEC5A,88.40395698,5.34E-21,low
DPP6,70.79885103,3.96E-17,high
DPY19L1,88.16020733,6.04E-21,low
RFC2,88.14033617,6.10E-21,low
DNAJC2,88.09757031,6.23E-21,low
HOXA10,85.09302713,2.85E-20,low
WBSCR22,84.3880423,4.07E-20,low
HOTAIRM1,84.00764724,4.93E-20,low
HECW1,67.82919565,1.78E-16,high
BUD31,82.81816749,9.00E-20,low
CNTNAP2,66.48385846,3.53E-16,high
LAMB1,81.11324383,2.13E-19,low
SAMD9,80.54590488,2.84E-19,low
YKT6,78.65643966,7.39E-19,low
DTX2,78.36151238,8.58E-19,low
PTPN12,78.28193568,8.93E-19,low
CNPY4,78.17666698,9.42E-19,low
NCF1,78.17126675,9.45E-19,low
IFRD1,77.18074167,1.56E-18,low
ADCYAP1R1,64.00638063,1.24E-15,high
UPP1,76.28305029,2.46E-18,low
CASP2,75.55080524,3.56E-18,low
FAM126A,75.5261171,3.61E-18,low
TMUB1,75.25041178,4.15E-18,low
CROT,74.91762494,4.91E-18,low
PTPRN2,63.37551537,1.71E-15,high
WBSCR16,73.9469041,8.02E-18,low
C7orf41,59.17594286,1.44E-14,high
RPA3,73.44811086,1.03E-17,low
WDR86,59.14057979,1.47E-14,high
FTSJ2,73.38858993,1.06E-17,low
KIAA1147,58.79645778,1.75E-14,high
MICALL2,73.03345085,1.27E-17,low
NOD1,72.70346845,1.51E-17,low
SRRT,72.24418893,1.90E-17,low
DBNL,71.81220718,2.37E-17,low
MRPL32,71.54196768,2.71E-17,low
HSPB1,69.53792025,7.50E-17,low
FLNC,68.76583324,1.11E-16,low
CAV1,68.71944201,1.14E-16,low
C7orf31,67.35346317,2.27E-16,low
CHCHD3,67.33159279,2.29E-16,low
TRIP6,67.30938457,2.32E-16,low
CREB3L2,66.76354272,3.06E-16,low
CDCA7L,66.43245584,3.62E-16,low
DGKB,58.38683383,2.15E-14,high
TMEM140,66.17836386,4.12E-16,low
PRKAG2,57.07988943,4.18E-14,high
FAM115C,65.58122032,5.58E-16,low
ARPC1A,65.54250714,5.69E-16,low
LRRC4,56.15510784,6.70E-14,high
RPS2P32,65.48488334,5.86E-16,low
BRI3,65.31415154,6.39E-16,low
LRWD1,64.64414378,8.97E-16,low
PPP1R9A,53.85302245,2.16E-13,high
TES,64.60958666,9.13E-16,low
ORAI2,64.20931722,1.12E-15,low
GNB2,64.18997614,1.13E-15,low
PON3,48.8975217,2.70E-12,high
HIPK2,47.69627495,4.98E-12,high
HEATR2,63.89088418,1.32E-15,low
TBL2,62.80891369,2.28E-15,low
GAL3ST4,62.79953984,2.29E-15,low
SEC61G,62.71358899,2.39E-15,low
FZD1,62.69477642,2.41E-15,low
NFE2L3,62.32656224,2.91E-15,low
SNX8,61.97493638,3.48E-15,low
TWIST1,61.73173012,3.94E-15,low
SRRM3,47.48693747,5.54E-12,high
SERPINE1,61.29477938,4.91E-15,low
GPR22,45.68532325,1.39E-11,high
STK17A,61.19607106,5.17E-15,low
TMEM196,44.44177268,2.62E-11,high
TMEM130,41.52021786,1.17E-10,high
SAMD9L,61.15432484,5.28E-15,low
TMEM60,61.09114812,5.45E-15,low
PPP1R35,60.40081177,7.74E-15,low
GHRHR,41.45360004,1.21E-10,high
HOXA4,60.24064058,8.39E-15,low
GPNMB,59.67890333,1.12E-14,low
INSIG1,41.41734522,1.23E-10,high
GNAI1,40.09653045,2.42E-10,high
C7orf49,59.38738124,1.29E-14,low
NCAPG2,59.37827754,1.30E-14,low
HNRNPA2B1,59.21448284,1.41E-14,low
SEMA3D,39.71407899,2.94E-10,high
PDAP1,58.73517182,1.80E-14,low
CLEC2L,38.8058647,4.68E-10,high
CCT6A,58.44160848,2.09E-14,low
DBF4,58.12978733,2.45E-14,low
STEAP2,38.57687143,5.26E-10,high
VIPR2,35.20898174,2.96E-09,high
TMEM209,57.77151571,2.94E-14,low
IGFBP3,57.57555683,3.25E-14,low
NPY,32.60269089,1.13E-08,high
NUP205,57.49246608,3.39E-14,low
POLR2J,57.41812518,3.52E-14,low
ZNF394,57.38350976,3.59E-14,low
NCF1B,57.37854341,3.60E-14,low
ACTB,56.15661873,6.69E-14,low
BCL7B,55.94905935,7.44E-14,low
ZNRF2,55.08926029,1.15E-13,low
UBE3C,54.90075071,1.27E-13,low
CDK6,54.81962651,1.32E-13,low
SMO,54.76847375,1.36E-13,low
EZH2,54.63673875,1.45E-13,low
CAV2,54.25433063,1.76E-13,low
ZC3HAV1,54.21501044,1.80E-13,low
FKBP9L,54.13545083,1.87E-13,low
HOXA5,53.89751962,2.11E-13,low
PARP12,53.82773906,2.19E-13,low
GARS,53.33195764,2.82E-13,low
POR,53.24830528,2.94E-13,low
C7orf73,52.10258522,5.27E-13,low
IMPDH1,51.82610385,6.06E-13,low
PUS7,51.71827152,6.41E-13,low
ARPC1B,51.38578165,7.59E-13,low
BAZ1B,51.17999872,8.43E-13,low
CREB5,50.61269306,1.13E-12,low
TMEM229A,32.33092344,1.30E-08,high
FSCN1,50.16548694,1.41E-12,low
RABL5,50.1021813,1.46E-12,low
TRA2A,49.95409488,1.57E-12,low
HOXA6,49.51296477,1.97E-12,low
COPS6,49.44863946,2.04E-12,low
ZNHIT1,49.36354241,2.13E-12,low
NXPH1,31.91140876,1.61E-08,high
ATP5J2,49.11400738,2.42E-12,low
TWISTNB,49.10696355,2.42E-12,low
SFRP4,48.88007628,2.72E-12,low
AHR,48.80350311,2.83E-12,low
ADAP1,31.1230546,2.42E-08,high
PPIA,48.50208931,3.30E-12,low
GSTK1,47.94049409,4.39E-12,low
CCZ1,47.88293352,4.52E-12,low
TTYH3,47.77875021,4.77E-12,low
RUNDC3B,31.07270315,2.49E-08,high
GRID2IP,30.6489451,3.09E-08,high
MAGI2,29.35382005,6.03E-08,high
GRM3,28.74327039,8.26E-08,high
HOXA2,47.10901983,6.71E-12,low
CDK13,46.8167587,7.79E-12,low
C7orf43,46.78704698,7.91E-12,low
