Gene Symbol,-2_diff,-1_diff,0_diff,1_diff,2_diff
BLM,-0.03,8.92,-11.99,2.93,0.17
BLMH,0.14,7.09,-12.88,5.65,0.0
BLNK,-0.2,66.69,-66.82,0.34,-0.03
BLOC1S1,-0.22,-0.86,-4.94,5.54,0.49
BLOC1S1-RDH5,-0.22,-0.86,-4.94,5.54,0.49
BLOC1S2,-0.2,66.38,-66.1,-0.03,-0.05
BLOC1S3,-0.81,-35.52,11.62,24.93,-0.22
BLVRA,0.0,0.77,-56.17,55.31,0.1
BLVRB,-0.2,-33.06,6.93,26.6,-0.26
BLZF1,0.0,-0.12,-9.4,9.72,-0.2
BMF,-0.03,14.05,-16.24,2.04,0.17
BMI1,0.69,66.28,-57.95,-8.94,-0.07
BMP1,-0.2,7.96,-8.72,0.79,0.17
BMP10,0.0,3.77,-6.04,2.27,0.0
BMP2,0.0,1.89,-31.4,29.91,-0.39
BMP2K,-0.39,-7.25,4.18,3.49,-0.03
BMP3,-0.59,-6.66,3.79,3.3,0.17
BMP4,0.0,10.96,-13.0,2.44,-0.39
BMP5,0.17,8.12,-11.32,3.24,-0.22
BMP6,-0.39,7.88,-9.19,2.1,-0.39
BMP7,0.17,2.11,-31.06,28.26,0.52
BMP8A,0.0,-31.34,19.99,11.01,0.34
BMP8B,-0.2,-31.15,20.19,11.01,0.14
BMPER,0.0,0.42,-57.4,56.9,0.08
BMPR1A,0.14,65.83,-65.71,-0.61,0.34
BMPR1B,-0.59,-8.11,5.04,3.32,0.34
BMPR2,0.17,1.98,-5.13,2.8,0.17
BMS1,0.0,64.45,-63.72,-0.73,0.0
BMS1P1,0.17,66.02,-65.26,-0.71,-0.22
BMS1P4,0.17,67.11,-67.0,-0.26,0.0
BMS1P5,0.17,66.02,-65.26,-0.71,-0.22
BNC1,-0.03,9.29,-11.72,2.46,0.0
BNC2,-0.61,21.43,-23.87,2.56,0.49
BNIP1,-0.39,-1.53,-4.03,6.73,-0.78
BNIP2,0.34,8.53,-11.0,2.32,-0.2
BNIP3,-0.93,60.7,-60.11,0.34,0.0
BNIP3L,0.17,8.53,-8.58,-0.1,-0.03
BNIPL,0.0,-0.41,-9.4,9.5,0.32
BOC,-0.78,1.71,-10.39,9.11,0.34
BOD1,-0.22,-1.53,-4.03,6.36,-0.59
BOD1L,0.0,-0.72,-2.58,3.3,0.0
BOD1P,0.0,-1.13,-4.82,6.34,-0.39
BOK,-3.98,0.7,0.24,3.05,0.0
BOK-AS1,-3.98,0.7,0.24,3.05,0.0
BOLA1,0.0,-14.05,4.22,9.86,-0.03
BOLA2,0.17,9.51,-13.64,3.96,0.0
BOLA2B,0.17,9.51,-13.64,3.96,0.0
BOLA3,0.0,2.76,-5.38,2.61,0.0
BOLA3-AS1,0.0,2.76,-5.38,2.61,0.0
BOLL,0.17,1.81,-4.98,3.0,0.0
BOP1,-1.57,5.88,3.03,-4.64,-2.71
BORA,-0.07,13.13,-13.67,0.61,0.0
BPESC1,0.0,1.47,-12.1,10.29,0.34
BPGM,0.0,-0.09,-48.33,48.61,-0.2
BPHL,-0.61,6.43,-8.75,2.79,0.14
BPI,0.0,2.5,-31.5,28.82,0.17
BPIFA1,0.0,2.7,-32.77,29.73,0.34
BPIFA2,0.0,2.7,-32.6,29.73,0.17
BPIFA3,0.0,2.7,-32.77,29.91,0.17
BPIFA4P,0.0,2.7,-32.77,29.91,0.17
BPIFB1,0.0,2.53,-32.6,29.56,0.52
BPIFB2,0.0,2.36,-32.08,29.56,0.17
BPIFB3,0.0,2.36,-32.08,29.56,0.17
BPIFB4,0.0,2.36,-32.26,29.73,0.17
BPIFB6,0.0,2.36,-32.08,29.56,0.17
BPIFC,0.0,23.04,-23.84,1.19,-0.39
BPNT1,0.17,2.33,-10.52,7.85,0.17
BPTF,0.0,4.91,-10.59,6.47,-0.81
BRAF,-0.2,0.25,-47.91,48.22,-0.37
BRAP,-0.61,-1.43,-3.19,5.43,-0.2
BRAT1,-0.78,-1.24,-55.63,56.51,1.16
BRCA1,-0.03,5.59,-11.59,5.86,0.17
BRCA2,-0.81,10.05,-9.93,1.11,-0.42
BRD1,1.08,21.79,-22.28,-0.38,-0.22
BRD2,0.0,7.78,-10.65,3.07,-0.2
BRD3,0.34,3.74,-11.1,7.24,-0.22
BRD4,0.0,2.07,-19.89,18.28,-0.46
BRD7,0.17,12.73,-15.58,2.68,0.0
BRD7P3,0.0,11.89,-14.83,3.14,-0.2
BRD8,0.0,-0.58,-4.36,5.13,-0.2
BRD9,0.47,-0.5,-6.48,6.76,-0.25
BRDT,0.0,-29.82,19.6,10.42,-0.2
BRE,0.0,3.25,-5.82,2.39,0.17
BREA2,-1.57,5.88,3.03,-4.47,-2.88
BRF1,0.34,6.77,-10.54,3.64,-0.22
BRF2,0.0,8.06,-7.6,-0.27,-0.2
BRI3,0.0,0.25,-50.9,50.77,-0.12
BRI3BP,0.17,-0.65,-3.14,4.65,-1.03
BRIP1,-0.2,4.72,-9.87,5.96,-0.61
BRIX1,0.0,0.76,-6.46,5.9,-0.2
BRK1,0.17,1.36,-6.78,5.51,-0.26
BRMS1,0.0,13.29,-6.99,-6.3,0.0
BRMS1L,0.0,16.03,-18.19,2.55,-0.39
BROX,-0.2,2.28,-10.13,7.7,0.34
BRP44,0.17,-0.29,-9.43,9.38,0.17
BRP44L,-0.61,14.19,-16.89,3.32,0.0
BRPF1,0.17,1.54,-6.42,4.97,-0.26
BRPF3,0.0,8.36,-10.68,2.73,-0.42
BRSK1,-2.96,-35.51,12.24,26.26,-0.03
BRSK2,-3.0,5.13,0.94,-2.87,-0.2
BRWD1,0.0,0.64,-6.94,6.5,-0.2
BRWD1-IT2,0.0,0.84,-7.13,6.5,-0.2
BSCL2,0.0,13.37,-6.23,-6.75,-0.39
BSDC1,0.0,-30.0,18.67,11.15,0.17
BSG,0.34,1.17,-19.2,19.83,-2.15
BSN,-0.98,1.6,-8.27,7.83,-0.2
BSN-AS2,-0.78,1.4,-8.44,8.01,-0.2
BSND,0.0,-31.86,21.2,10.66,0.0
BSPH1,-0.78,-32.6,9.38,24.02,-0.03
BSPRY,0.0,1.75,-10.88,9.15,-0.03
BST1,0.0,-0.69,-2.44,3.13,0.0
BST2,0.0,2.39,-19.92,17.75,-0.22
BSX,0.0,12.24,0.59,-10.8,-2.02
BTAF1,0.17,65.44,-65.91,-0.05,0.34
BTBD1,-0.03,8.92,-11.53,2.63,0.0
BTBD10,-1.59,3.24,1.1,-2.56,-0.2
BTBD11,0.14,-2.55,-2.31,4.91,-0.2
BTBD16,-1.79,62.34,-60.7,0.34,-0.2
BTBD17,-0.2,5.46,-10.64,6.21,-0.83
BTBD18,0.0,11.78,-7.21,-4.54,-0.03
BTBD19,0.0,-32.01,21.37,10.66,-0.03
BTBD2,0.17,1.53,-19.88,18.8,-0.63
BTBD3,0.0,1.72,-31.21,29.71,-0.22
BTBD6,0.34,6.77,-10.54,3.64,-0.22
BTBD7,-0.03,6.09,-9.21,3.34,-0.2
BTBD8,0.0,-29.65,19.43,10.42,-0.2
BTBD9,0.0,8.36,-11.36,3.24,-0.25
BTC,-0.22,-7.52,4.48,3.1,0.17
BTD,0.17,1.88,-7.2,5.56,-0.42
BTF3,0.0,0.68,-6.71,6.02,0.0
BTF3L4,0.0,-31.22,20.56,10.66,0.0
BTF3P11,-0.44,11.28,-12.34,1.5,0.0
BTG1,0.17,-1.55,-3.51,5.08,-0.2
BTG2,0.0,-0.94,-10.74,10.23,1.45
BTG3,-0.03,0.54,-6.56,5.37,0.66
BTG4,0.0,11.87,-1.82,-9.83,-0.22
BTLA,-0.78,1.52,-9.85,8.94,0.17
BTN1A1,0.0,6.97,-9.29,2.32,0.0
BTN2A1,0.0,6.97,-9.29,2.32,0.0
BTN2A2,0.0,6.97,-9.29,2.32,0.0
BTN2A3P,0.0,6.97,-9.29,2.32,0.0
BTN3A1,0.0,6.97,-9.29,2.32,0.0
BTN3A2,0.0,6.97,-9.29,2.32,0.0
BTN3A3,0.0,6.97,-9.29,2.32,0.0
BTNL2,0.0,7.92,-10.41,2.68,-0.2
BTNL3,-0.22,-0.33,-5.03,6.16,-0.59
BTNL8,-0.22,-0.33,-5.03,6.16,-0.59
BTNL9,-0.22,-0.33,-5.03,6.16,-0.59
BTRC,-0.39,66.01,-65.91,0.32,-0.03
BUB1,-0.2,3.91,-6.16,2.27,0.17
BUB1B,-0.03,14.45,-16.63,2.24,-0.03
BUB3,-1.79,62.17,-60.87,0.52,-0.03
BUD13,-0.2,12.01,-1.12,-10.06,-0.64
BUD31,0.0,0.44,-50.5,49.66,0.39
BVES,0.17,10.74,-13.7,2.97,-0.2
BVES-AS1,0.17,10.74,-13.87,2.97,-0.03
BYSL,0.0,8.17,-11.71,3.61,-0.07
BZRAP1,0.0,4.38,-9.9,5.77,-0.25
BZW1,0.17,1.98,-4.79,2.63,0.0
BZW2,0.0,0.52,-56.71,55.9,0.3
C10orf10,0.0,65.16,-64.23,-0.71,-0.22
C10orf103,0.17,67.11,-67.0,-0.26,0.0
C10orf105,0.34,67.3,-67.38,-0.26,0.0
C10orf107,0.17,66.98,-66.66,-0.46,-0.03
C10orf108,1.16,63.61,-54.55,-8.97,-1.24
C10orf11,-0.03,66.76,-66.27,-0.26,-0.2
C10orf111,-0.2,65.77,-56.92,-7.82,-0.83
C10orf113,0.14,66.62,-57.61,-9.32,0.14
C10orf114,0.14,66.45,-57.78,-9.14,0.32
C10orf116,-0.03,66.01,-65.71,-0.44,0.17
C10orf118,-1.57,62.61,-61.56,0.52,0.0
C10orf12,-0.2,66.01,-66.3,0.34,0.14
C10orf120,-1.96,62.51,-60.53,0.17,-0.2
C10orf122,-1.79,62.29,-60.48,0.17,-0.2
C10orf125,2.59,57.53,-60.07,0.34,-0.39
C10orf128,0.69,65.28,-65.06,-0.71,-0.2
C10orf129,0.0,66.33,-66.45,-0.03,0.14
C10orf131,-0.2,66.35,-66.65,0.34,0.14
C10orf136,0.0,64.79,-64.06,-0.54,-0.2
C10orf137,-1.79,62.12,-60.31,0.17,-0.2
C10orf140,0.14,66.45,-57.78,-9.14,0.32
C10orf2,-0.39,65.83,-65.76,0.14,0.17
C10orf25,0.0,65.16,-64.23,-0.71,-0.22
C10orf26,-0.39,65.64,-65.35,-0.03,0.13
C10orf27,0.34,66.95,-67.03,-0.26,0.0
C10orf28,-0.03,66.03,-66.33,-0.03,0.34
C10orf32,-0.39,65.47,-65.18,-0.03,0.13
C10orf32-AS3MT,-0.39,65.27,-64.98,-0.03,0.13
C10orf35,0.34,66.81,-67.06,-0.26,0.17
C10orf40,0.0,66.81,-66.29,-0.48,-0.03
C10orf46,-1.76,63.05,-61.81,0.34,0.17
C10orf47,0.32,65.44,-56.7,-8.43,-0.64
C10orf53,0.34,65.96,-65.41,-0.71,-0.2
C10orf54,0.17,67.3,-67.38,-0.09,0.0
C10orf55,0.17,67.11,-67.0,-0.26,0.0
C10orf58,-0.03,66.17,-65.69,-0.44,-0.03
C10orf62,-0.39,65.74,-65.83,0.14,0.34
C10orf67,-0.22,66.99,-57.98,-8.94,0.14
C10orf68,0.0,66.77,-58.14,-8.58,-0.05
C10orf71,0.49,65.65,-65.24,-0.71,-0.2
C10orf76,-0.39,66.35,-66.09,-0.03,0.14
C10orf81,-1.4,62.61,-61.73,0.52,0.0
C10orf82,-1.57,63.3,-62.07,0.34,0.0
C10orf88,-1.96,62.37,-60.73,0.34,-0.03
C10orf90,-1.79,61.98,-60.34,0.34,-0.2
C10orf91,-0.29,59.87,-59.92,0.34,0.0
C10orf95,-0.39,65.64,-65.54,0.14,0.14
C10orf96,-1.57,63.27,-61.88,0.17,0.0
C10orf99,0.34,65.96,-65.66,-0.44,-0.2
C11orf1,0.0,11.53,-1.68,-9.63,-0.22
C11orf10,0.17,12.31,-5.93,-6.55,0.0
C11orf16,-2.02,3.37,1.44,-2.39,-0.39
C11orf2,0.0,13.42,-6.75,-6.64,-0.03
C11orf20,0.0,12.34,-6.09,-6.42,0.17
C11orf21,-2.81,3.74,2.17,-2.9,-0.2
C11orf24,0.17,13.79,-6.48,-7.62,0.14
C11orf30,0.0,12.76,-5.64,-7.45,0.34
C11orf31,0.0,11.78,-7.21,-4.54,-0.03
C11orf34,0.0,11.87,-1.68,-9.97,-0.22
C11orf35,-2.83,5.31,0.26,-2.7,-0.03
C11orf36,-2.81,3.24,2.66,-2.9,-0.2
C11orf40,-2.61,3.13,2.56,-2.87,-0.2
C11orf41,0.0,4.16,-2.05,-2.46,0.34
C11orf42,-2.44,3.86,1.68,-2.7,-0.39
C11orf45,0.0,12.01,0.45,-10.48,-1.98
C11orf46,0.0,4.09,-2.37,-2.07,0.34
C11orf48,0.0,13.17,-6.04,-6.75,-0.39
C11orf49,0.17,7.35,-3.47,-4.05,0.0
C11orf51,0.17,13.32,-5.47,-7.62,-0.39
C11orf52,0.0,11.53,-1.68,-9.63,-0.22
C11orf53,0.0,11.87,-1.65,-10.0,-0.22
C11orf54,0.0,12.48,-3.81,-8.99,0.32
C11orf57,0.0,11.87,-1.48,-10.17,-0.22
C11orf58,0.17,3.58,-1.15,-2.42,-0.2
C11orf61,0.0,12.18,1.18,-11.0,-2.37
C11orf63,0.0,12.24,0.79,-11.0,-2.02
C11orf65,0.0,12.01,-2.21,-9.38,-0.42
C11orf67,0.0,12.95,-5.64,-7.82,0.52
C11orf68,0.0,13.46,-6.79,-6.64,-0.03
C11orf70,-0.2,12.58,-2.02,-9.94,-0.42
C11orf71,0.0,11.5,-0.31,-10.39,-0.81
C11orf73,-0.2,12.46,-3.71,-9.07,0.52
C11orf74,0.0,4.83,-2.59,-2.59,0.34
C11orf75,0.0,12.29,-3.22,-9.38,0.32
C11orf80,0.0,12.93,-6.75,-5.78,-0.39
C11orf82,-0.2,11.28,-3.44,-8.13,0.49
C11orf83,0.0,13.17,-6.04,-6.75,-0.39
C11orf84,0.0,13.03,-6.4,-6.62,0.0
C11orf85,0.0,13.42,-6.75,-6.64,-0.03
C11orf86,0.0,13.12,-6.77,-5.95,-0.39
C11orf87,0.0,12.18,-1.82,-10.14,-0.22
C11orf88,0.0,11.87,-1.82,-9.83,-0.22
C11orf9,0.17,12.31,-5.93,-6.55,0.0
C11orf91,0.0,4.16,-2.05,-2.46,0.34
C11orf92,0.0,11.87,-1.65,-10.0,-0.22
C11orf93,0.0,11.87,-1.65,-10.0,-0.22
C11orf94,0.69,6.61,-3.44,-3.85,0.0
C11orf95,0.0,13.03,-6.04,-6.79,-0.2
C11orf96,0.52,6.05,-2.73,-3.84,0.0
C12orf10,-0.59,-0.55,-4.94,5.93,0.14
C12orf12,0.34,-1.92,-3.51,5.11,-0.03
C12orf23,0.14,-2.19,-2.67,4.91,-0.2
C12orf26,0.32,-1.06,-5.03,5.63,0.14
C12orf29,0.32,-2.27,-3.31,5.28,-0.03
C12orf32,0.17,5.0,-4.99,1.9,-2.08
C12orf33,0.52,6.25,-6.27,1.67,-2.18
C12orf34,-0.44,-1.8,-3.17,5.43,-0.03
C12orf35,0.52,2.89,-8.04,4.51,0.13
C12orf36,-0.2,5.52,-7.25,2.16,-0.25
C12orf37,0.34,-1.92,-3.51,5.11,-0.03
C12orf39,0.0,4.73,-6.84,2.63,-0.51
C12orf4,0.0,4.34,-4.06,1.53,-1.8
C12orf40,-0.03,1.41,-5.89,4.95,-0.44
C12orf42,0.52,-1.43,-4.12,5.24,-0.2
C12orf43,0.17,-0.82,-2.61,3.87,-0.61
C12orf44,-0.39,-0.52,-5.67,6.27,0.32
C12orf45,0.34,-2.02,-3.19,4.89,-0.03
C12orf47,-0.44,-1.24,-3.56,5.43,-0.2
C12orf49,-0.2,-0.99,-3.05,4.87,-0.64
C12orf5,0.0,4.34,-5.09,1.88,-1.11
C12orf50,0.32,-2.1,-3.31,5.28,-0.2
C12orf51,-0.44,-1.41,-3.02,5.08,-0.22
C12orf52,-0.61,-1.38,-2.66,5.07,-0.42
C12orf53,0.0,5.0,-3.18,1.02,-2.83
C12orf54,-0.81,0.54,-5.26,5.55,-0.03
C12orf56,0.34,0.71,-7.22,5.16,1.0
C12orf57,0.0,4.8,-3.37,1.02,-2.44
C12orf59,0.17,6.58,-6.49,1.56,-1.81
C12orf60,0.0,5.77,-7.48,1.75,-0.03
C12orf61,0.34,0.83,-6.66,5.36,0.13
C12orf62,-0.98,0.21,-6.53,6.8,0.49
C12orf65,0.17,-0.79,-3.3,4.56,-0.64
C12orf66,0.52,0.54,-7.56,5.34,1.17
C12orf68,-0.81,0.37,-5.26,5.73,-0.03
C12orf69,0.0,5.77,-7.48,1.75,-0.03
C12orf70,0.17,4.02,-6.79,2.34,0.27
C12orf71,0.17,4.56,-7.34,2.16,0.44
C12orf73,0.34,-1.26,-4.12,5.07,-0.03
C12orf74,0.17,-1.92,-3.17,5.11,-0.2
C12orf75,0.14,-2.36,-2.85,5.08,-0.03
C12orf76,-0.61,-1.63,-3.17,5.26,0.14
C12orf77,0.0,4.7,-7.43,2.34,0.39
C13orf15,-0.44,12.63,-12.57,0.59,-0.22
C13orf33,-0.44,10.51,-10.72,1.25,-0.61
C13orf35,0.0,9.5,-11.01,2.32,-0.81
C14orf1,-0.03,7.15,-10.32,3.19,0.0
C14orf101,-0.03,10.37,-12.98,2.83,-0.2
C14orf102,-0.03,5.21,-8.67,3.69,-0.2
C14orf105,-0.03,9.42,-12.02,2.83,-0.2
C14orf109,-0.03,6.09,-9.21,3.34,-0.2
C14orf118,-0.03,6.61,-9.78,3.19,0.0
C14orf119,0.0,17.3,-19.08,2.61,-0.83
C14orf126,0.0,16.59,-18.51,2.71,-0.78
C14orf129,-0.03,5.79,-9.23,3.49,-0.03
C14orf132,0.13,5.4,-9.01,3.52,-0.03
C14orf133,0.14,5.23,-8.75,3.36,0.0
C14orf135,-0.03,8.53,-11.53,3.02,0.0
C14orf142,-0.03,6.09,-9.21,3.34,-0.2
C14orf149,-0.03,8.19,-11.19,3.02,0.0
C14orf159,-0.03,5.21,-8.87,3.88,-0.2
C14orf162,0.14,6.31,-9.65,3.19,0.0
C14orf165,-0.2,17.08,-18.3,2.41,-1.0
C14orf166,0.0,11.79,-14.02,2.44,-0.2
C14orf166B,0.14,6.09,-10.64,4.39,0.0
C14orf167,-0.2,16.88,-18.1,2.41,-1.0
C14orf169,-0.03,7.17,-10.32,3.17,0.0
C14orf176,0.0,17.15,-18.88,2.73,-1.0
C14orf177,0.17,6.65,-10.68,3.69,0.17
C14orf178,0.14,5.23,-8.92,3.53,0.0
C14orf180,0.34,6.43,-10.66,3.61,0.27
C14orf182,0.0,12.06,-14.27,2.41,-0.2
C14orf183,0.0,12.06,-14.27,2.41,-0.2
C14orf2,0.17,7.29,-11.4,3.98,-0.05
C14orf21,-0.2,16.57,-17.58,2.21,-1.0
C14orf23,0.0,16.23,-18.14,2.71,-0.78
C14orf28,0.17,13.87,-16.41,2.38,-0.03
C14orf37,-0.03,8.48,-11.27,3.0,-0.2
C14orf38,-0.03,8.19,-11.19,3.02,0.0
C14orf39,0.14,8.47,-11.83,3.22,0.0
C14orf43,-0.03,6.78,-10.47,3.71,0.0
C14orf45,-0.03,6.64,-10.12,3.34,0.17
C14orf49,0.32,5.18,-8.99,3.52,-0.03
C14orf55,0.14,6.31,-9.65,3.19,0.0
C14orf64,0.17,6.31,-10.15,3.69,-0.03
C14orf79,0.34,6.94,-10.88,3.64,-0.05
C14orf80,0.34,6.77,-10.54,3.64,-0.22
C14orf93,0.0,16.93,-18.7,2.61,-0.83
C15orf17,-0.03,9.05,-12.39,3.37,0.0
C15orf2,-0.22,10.81,-13.13,2.36,0.17
C15orf23,-0.03,14.05,-16.62,2.41,0.17
C15orf24,-0.03,14.67,-16.63,2.02,-0.03
C15orf26,-0.03,8.72,-11.31,2.61,0.0
C15orf27,-0.03,8.87,-12.05,3.02,0.17
C15orf29,-0.03,14.64,-16.81,2.02,0.17
C15orf32,0.14,8.75,-11.46,2.39,0.17
C15orf33,-0.03,11.97,-14.29,2.54,-0.2
C15orf34,0.0,8.33,-11.88,3.02,0.52
C15orf37,0.14,8.38,-11.71,3.18,0.0
C15orf38,0.14,8.55,-11.13,2.27,0.17
C15orf38-AP3S2,0.14,8.55,-11.13,2.27,0.17
C15orf39,-0.03,9.39,-12.91,3.37,0.17
C15orf40,-0.03,8.95,-11.53,2.8,-0.2
C15orf41,0.14,14.94,-17.1,2.21,-0.2
C15orf42,-0.03,8.72,-11.31,2.44,0.17
C15orf43,0.17,11.9,-14.43,2.19,0.17
C15orf44,0.0,8.83,-11.63,2.8,0.0
C15orf48,0.17,11.9,-14.43,2.19,0.17
C15orf5,-0.03,9.06,-11.82,2.79,0.0
C15orf50,0.0,8.31,-10.96,2.66,0.0
C15orf52,-0.03,14.25,-16.63,2.24,0.17
C15orf53,-0.05,14.21,-16.57,2.24,0.17
C15orf54,-0.22,14.28,-16.62,2.41,0.14
C15orf55,-0.03,14.64,-16.81,2.02,0.17
C15orf56,-0.03,13.74,-16.12,2.24,0.17
C15orf57,-0.03,13.88,-16.44,2.41,0.17
C15orf58,-0.03,8.55,-10.96,2.27,0.17
C15orf59,0.17,9.06,-12.41,3.37,-0.2
C15orf60,0.17,8.87,-11.88,3.02,-0.2
C15orf61,0.0,8.85,-11.68,2.83,0.0
C15orf62,-0.03,13.36,-15.73,2.21,0.17
C15orf63,0.34,12.29,-15.37,2.55,0.17
C16orf11,-0.03,12.63,-16.91,3.79,0.52
C16orf13,-0.03,12.63,-16.91,3.79,0.52
C16orf3,0.69,12.22,-16.43,3.52,0.0
C16orf42,0.17,10.59,-14.75,3.65,0.34
C16orf45,0.0,8.63,-13.08,4.65,-0.2
C16orf46,0.0,12.22,-15.03,2.81,0.0
C16orf48,0.0,11.62,-14.44,2.81,0.0
C16orf5,0.0,8.7,-13.89,4.85,0.34
C16orf52,0.34,12.04,-16.72,4.33,0.0
C16orf53,0.17,9.51,-13.64,3.96,0.0
C16orf54,0.17,9.51,-13.64,3.96,0.0
C16orf55,0.69,12.22,-16.43,3.52,0.0
C16orf57,0.0,11.43,-14.04,2.62,0.0
C16orf58,0.17,8.85,-12.96,3.93,0.0
C16orf59,0.17,9.04,-14.43,4.9,0.32
C16orf61,0.0,12.22,-15.03,2.81,0.0
C16orf62,0.0,8.82,-13.45,4.62,0.0
C16orf7,0.69,12.22,-16.43,3.52,0.0
C16orf70,0.0,11.79,-14.41,2.62,0.0
C16orf71,0.0,8.7,-13.89,4.85,0.34
C16orf72,0.0,8.4,-13.16,4.4,0.34
C16orf73,0.17,10.62,-14.58,3.45,0.34
C16orf74,0.14,12.31,-15.82,3.35,0.0
C16orf78,0.34,12.29,-15.1,2.67,-0.2
C16orf79,0.17,9.73,-14.41,4.36,0.14
C16orf80,0.0,11.6,-14.04,2.45,0.0
C16orf82,0.17,9.61,-13.74,3.96,0.0
C16orf86,0.0,11.62,-14.44,2.81,0.0
C16orf87,0.17,11.45,-14.28,2.67,0.0
C16orf88,0.0,9.17,-13.62,4.45,0.0
C16orf89,0.0,8.73,-13.62,4.56,0.34
C16orf90,0.17,8.68,-13.74,4.56,0.34
C16orf91,0.17,10.59,-14.75,3.65,0.34
C16orf92,0.17,9.51,-13.64,3.96,0.0
C16orf93,0.17,8.85,-13.13,4.1,0.0
C16orf95,0.14,12.27,-15.94,3.52,0.0
C16orf96,0.0,8.9,-13.89,4.65,0.34
C17orf100,-0.2,12.51,-14.71,2.42,-0.03
C17orf101,-0.59,8.06,-10.45,4.35,-1.37
C17orf102,0.34,7.43,-13.01,5.24,0.0
C17orf103,0.17,8.74,-14.33,5.43,-0.03
C17orf104,0.17,4.73,-11.32,6.42,0.0
C17orf105,-0.03,5.78,-11.63,5.88,0.0
C17orf107,0.0,12.48,-14.88,2.59,-0.2
C17orf108,-0.2,6.81,-13.47,6.68,0.17
C17orf109,0.0,5.11,-10.95,6.72,-0.88
C17orf110,0.0,5.11,-10.78,6.72,-1.05
C17orf28,-0.2,5.28,-10.64,6.38,-0.83
C17orf39,0.17,8.92,-14.19,4.92,0.17
C17orf46,0.17,5.31,-12.25,6.76,0.0
C17orf47,0.0,4.38,-10.07,5.94,-0.25
C17orf48,0.0,10.27,-13.94,3.87,-0.2
C17orf49,-0.2,12.51,-14.72,2.62,-0.2
C17orf50,0.17,7.96,-12.62,4.51,-0.03
C17orf51,-0.03,7.69,-14.36,6.51,0.17
C17orf53,0.17,5.41,-11.46,5.88,0.0
C17orf56,-0.39,7.79,-11.26,5.04,-1.17
C17orf57,-0.03,4.92,-11.29,6.4,0.0
C17orf58,0.0,4.91,-10.24,6.13,-0.81
C17orf59,-0.2,12.01,-14.71,3.28,-0.39
C17orf61,-0.03,12.68,-15.24,2.79,-0.2
C17orf61-PLSCR3,-0.03,12.68,-15.24,2.79,-0.2
C17orf62,-0.59,8.04,-10.45,4.37,-1.37
C17orf63,-0.2,7.84,-14.46,6.46,0.34
C17orf64,0.17,4.72,-10.39,6.11,-0.61
C17orf65,0.17,5.41,-11.46,5.88,0.0
C17orf66,0.17,7.99,-12.64,4.68,-0.2
C17orf67,0.0,3.99,-10.09,5.96,0.14
C17orf69,-0.03,5.12,-11.46,6.57,-0.2
C17orf70,-0.39,7.79,-10.5,4.48,-1.37
C17orf72,0.0,4.74,-10.24,6.3,-0.81
C17orf74,-0.03,12.68,-15.24,2.79,-0.2
C17orf75,-0.2,7.45,-13.4,5.8,0.34
C17orf76-AS1,0.17,8.92,-14.16,4.9,0.17
C17orf77,-0.2,5.46,-10.64,6.21,-0.83
C17orf78,0.14,7.99,-12.64,4.51,0.0
C17orf79,-0.03,7.62,-13.22,5.46,0.17
C17orf80,0.17,5.11,-10.12,6.04,-1.2
C17orf81,-0.2,12.51,-14.9,2.79,-0.2
C17orf82,-0.03,4.72,-10.22,6.13,-0.61
C17orf85,0.0,11.94,-13.99,2.25,-0.2
C17orf89,-0.39,7.79,-11.26,5.04,-1.17
C17orf90,-0.39,7.62,-10.5,4.65,-1.37
C17orf96,-0.03,7.62,-12.62,5.02,0.0
C17orf97,0.0,11.53,-13.35,2.22,-0.39
C17orf98,-0.03,7.84,-12.66,4.85,0.0
C17orf99,0.0,5.07,-10.2,6.33,-1.2
C18orf1,0.0,-1.45,-4.3,5.59,0.17
C18orf21,0.0,-1.31,-5.53,7.05,-0.22
C18orf25,0.0,-1.63,-5.07,6.51,0.17
C18orf26,0.0,-1.13,-5.21,6.34,0.0
C18orf32,0.0,-1.63,-5.43,6.71,0.34
C18orf34,0.0,-1.46,-5.36,6.85,-0.05
C18orf42,0.0,1.17,-5.29,4.11,0.0
C18orf54,0.0,-1.47,-5.04,6.51,0.0
C18orf56,-0.2,-0.22,-3.87,4.48,-0.2
C18orf62,-0.39,0.54,-6.79,6.66,-0.03
C18orf63,-0.39,0.76,-6.66,6.32,-0.03
C18orf8,-0.2,-1.65,-4.47,6.15,0.17
C19orf10,0.17,1.36,-19.48,18.67,-0.73
C19orf12,0.0,-32.22,1.17,30.4,0.64
C19orf18,-2.79,-35.62,10.62,27.8,-0.03
C19orf21,0.34,1.36,-19.17,19.98,-2.52
C19orf24,0.34,1.53,-20.05,19.51,-1.34
C19orf25,0.17,1.7,-20.1,19.7,-1.49
C19orf26,0.34,1.53,-20.05,19.51,-1.34
C19orf29,0.17,1.34,-19.41,19.36,-1.46
C19orf29-AS1,0.17,1.34,-19.41,19.36,-1.46
C19orf33,0.0,-34.8,6.88,27.83,0.1
C19orf35,0.17,1.36,-20.1,19.19,-0.63
C19orf38,0.17,1.31,-19.33,18.72,-0.88
C19orf40,0.17,-33.09,3.77,29.03,0.13
C19orf42,0.0,2.21,-19.94,17.97,-0.25
C19orf43,-0.2,1.48,-18.69,18.06,-0.65
