Gene Symbol,-2_diff,-1_diff,0_diff,1_diff,2_diff
ABR,0.0,11.53,-13.35,2.22,-0.39
ABRA,0.0,5.8,1.14,-5.32,-1.62
ABT1,0.0,6.97,-9.29,2.32,0.0
ABTB1,-0.59,2.11,-10.76,9.24,0.0
ABTB2,0.17,3.97,-2.25,-2.24,0.34
ACAA1,-0.39,1.18,-7.17,6.58,-0.2
ACAA2,0.0,-1.63,-5.6,6.88,0.34
ACACA,0.14,8.34,-12.99,4.51,0.0
ACACB,-0.42,-1.82,-2.83,5.08,-0.03
ACAD10,-0.44,-1.43,-3.36,5.43,-0.2
ACAD11,-0.2,2.16,-11.54,9.41,0.17
ACAD8,-0.22,10.42,0.66,-9.67,-1.2
ACAD9,-0.59,2.8,-11.07,8.86,0.0
ACADL,0.17,2.15,-4.96,2.63,0.0
ACADM,-0.03,-31.2,20.58,10.83,-0.2
ACADS,-0.2,-0.65,-2.61,4.06,-0.61
ACADSB,-1.79,62.17,-60.7,0.34,-0.03
ACADVL,-0.2,12.51,-14.9,2.79,-0.2
ACAN,0.17,8.72,-11.53,2.46,0.17
ACAP1,-0.2,12.68,-15.07,2.79,-0.2
ACAP2,-1.2,3.19,-12.31,10.22,0.1
ACAP3,-0.64,-22.84,11.91,11.08,0.49
ACAT1,0.0,11.82,-2.02,-9.38,-0.42
ACAT2,-0.42,11.93,-13.93,2.41,0.0
ACBD3,-0.2,2.15,-10.55,8.24,0.34
ACBD4,0.17,5.31,-11.91,6.42,0.0
ACBD5,0.0,67.48,-58.68,-8.57,-0.22
ACBD6,0.0,0.21,-9.36,9.35,-0.2
ACBD7,-0.2,65.94,-57.09,-7.82,-0.83
ACCN1,0.32,7.96,-13.52,5.43,-0.2
ACCN2,-0.98,0.21,-6.53,6.8,0.49
ACCN3,0.0,0.57,-49.36,49.33,-0.54
ACCN4,-0.03,1.56,-4.01,2.46,0.0
ACCN5,-1.42,-11.28,8.87,3.83,0.0
ACCS,0.52,6.2,-2.88,-3.84,0.0
ACCSL,0.52,6.2,-2.88,-3.84,0.0
ACD,0.0,11.62,-14.44,2.81,0.0
ACE,0.0,4.74,-10.42,6.67,-1.0
ACER1,0.0,2.81,-18.28,16.86,-1.4
ACER2,-0.29,25.63,-27.29,1.95,0.0
ACER3,0.0,12.93,-5.62,-7.65,0.34
ACHE,0.0,0.44,-50.11,49.62,0.05
ACIN1,0.0,17.1,-18.88,2.61,-0.83
ACLY,0.17,6.06,-11.74,5.51,0.0
ACMSD,0.0,3.32,-5.6,2.1,0.17
