,log_rank,p_value,long_survival
COMTD1,0.38471904804830215,0.5350884396114328,high
COX15,1.9915497228467467,0.1581789364995887,high
CPEB3,1.0697388411331512,0.30100444284800215,high
CPN1,0.012235140483310612,0.9119235798084696,high
CPXM2,3.7136518535343406,0.053969191143096326,low
CREM,1.7878914474152465,0.18118328026200833,high
CRTAC1,0.4226587024138769,0.5156133760004313,low
CSGALNACT2,0.9612298264109091,0.3268772183073918,low
CSTF2T,2.55621387243898,0.10986140450731395,high
CTBP2,2.4093511785722668,0.12061234668912833,high
CTNNA3,1.1163683728204283,0.29070178320238926,low
CUBN,0.13184231042063868,0.7165294641554213,low
CUEDC2,0.3861217885457534,0.5343450314983562,high
CUL2,1.7908570996065472,0.18082176875765021,high
CUTC,0.039645302532479554,0.8421756963376933,low
CUZD1,0.4334028536927171,0.5103239262850288,high
CWF19L1,0.11122674071717281,0.7387518081652604,high
CXCL12,0.030932238179321385,0.8603916492151245,low
CYP17A1,1.0875239082672918,0.2970204825900785,high
CYP26A1,0.3278812503538849,0.5669093560566942,low
CYP26C1,0.934694616383752,0.3336459958361776,high
CYP2C18,0.005224423479614159,0.9423789426844447,low
CYP2C19,8.013566917919112e-05,0.9928575502266805,low
CYP2C8,0.25256554934463,0.6152743607251177,low
CYP2C9,0.05431408057700314,0.8157196179123598,high
CYP2E1,0.8059761471158934,0.36931258460229077,high
DCLRE1A,2.9904165859323997,0.08375861844419885,high
DCLRE1C,0.6157840678391775,0.4326182809642809,low
DDIT4,2.1151440579668894,0.14584832913273135,high
DDX21,5.7125163269546615,0.01684437770631858,low
DDX50,1.470356712068271,0.22528942101058907,high
DHTKD1,1.3545394326739384,0.24448609209868416,low
DHX32,0.14481867096968798,0.7035368292697015,low
DIP2C,1.7431289348856216,0.18674285788114575,low
DKK1,0.23194839899727612,0.6300828684106458,low
DLG5,0.061906614831967986,0.8035074465038816,low
DMBT1,0.00420102513212282,0.9483210470324963,low
DNA2,0.6659767869638283,0.41445780862690074,high
