,log_rank,p_value,long_survival
YME1L1,25.68939349874752,4.0102505967284137e-07,high
ZCCHC24,119.72845347184678,7.254099439067238e-28,high
ZDHHC16,6.028808322944696,0.014074231913965982,low
ZDHHC6,0.00856211670061706,0.9262756011604393,high
ZEB1,83.04150150733646,8.034863430685757e-20,high
ZFYVE27,98.48087084353556,3.2817954444449277e-23,high
ZMIZ1,109.71862697168358,1.1293560295630795e-25,high
ZMYND11,148.42740745573616,3.825628083714628e-34,high
ZMYND17,116.28535690419916,4.116001092609689e-27,high
ZNF22,69.36443657162542,8.185130878623538e-17,high
ZNF239,9.836344009648165,0.0017109722146098536,high
ZNF248,108.35792690319055,2.2437032142730365e-25,high
ZNF25,126.07100072436292,2.9667669310865685e-29,high
ZNF32,43.819034712625324,3.601849065543567e-11,high
ZNF33A,127.09365662195141,1.7721026254611687e-29,high
ZNF33B,59.43965565331757,1.2610220531665086e-14,high
ZNF365,40.10645449543115,2.404930496175135e-10,high
ZNF37A,74.724985902843,5.4106995637639315e-18,high
ZNF438,47.3700541022211,5.87737383633029e-12,high
ZNF485,57.041901038002365,4.2662469006744314e-14,high
ZNF488,77.8737514911468,1.098413742985178e-18,high
ZNF503,36.010815604717465,1.9622532792796796e-09,low
ZNF511,0.7788721433147437,0.37748630052594045,low
ZNF518A,67.68107091028229,1.9219992609094603e-16,high
ZRANB1,131.90432732937023,1.5700644566897376e-30,high
ZWINT,56.246221334135726,6.394059790561899e-14,low
tAKR,0.01835553022442189,0.89223033424863,low
