,log_rank,p_value,long_survival
OR6W1P,0.06774006066305817,0.7946561227247124,high
OR9A2,0.8675136514543277,0.3516445558489917,high
OR9A4,0.5091866569052321,0.475491158195371,low
ORAI2,25.863489607324354,3.6643487755509297e-07,low
OSBPL3,52.51630154773554,4.266918002205896e-13,low
PAPOLB,8.713662651905391,0.0031583402166436713,high
PARP12,105.76550368079782,8.299794521499784e-25,low
PAX4,0.032305529918874705,0.8573587372423375,high
PAXIP1,7.541404771530018,0.0060297013544380815,low
PCLO,24.84425799110669,6.215390872303435e-07,high
PCOLCE,99.49623437767401,1.965366827012776e-23,low
PDAP1,24.116107035966664,9.069848342547679e-07,low
PDE1C,15.508333770615756,8.214230900170872e-05,low
PDGFA,113.68776815836087,1.5253113881134172e-26,low
PDIA4,120.45950666575536,5.0180688585095925e-28,low
PDK4,45.62923939092332,1.4289255488590271e-11,high
PEG10,4.447001380019355,0.03496258693725355,high
PER4,0.7119631587230821,0.398792860162854,low
PEX1,22.664607983109494,1.928881580391151e-06,low
PGAM2,31.75373323216959,1.750125339291208e-08,low
PHF14,15.854189633147342,6.841489986685613e-05,high
PHKG1,2.2275813539766642,0.13556591418648448,high
PHTF2,35.397667512443945,2.6880860235617086e-09,low
PIK3CG,32.130758336411475,1.4413717082449952e-08,low
PILRA,29.662220873790968,5.142738268623984e-08,low
PILRB,17.51037817931705,2.857436551112447e-05,low
PION,123.3275624520093,1.1822716610931512e-28,low
PIP,1.6216222262326066e-05,0.9967869777588031,low
PKD1L1,43.70162643121342,3.824538062682598e-11,low
PLEKHA8,5.252672607677368,0.021913089053786573,high
PLOD3,109.51324056329356,1.2526499569854136e-25,low
PLXNA4,1.070433078071976,0.3008476442233481,high
PMPCB,36.77366571673413,1.3267028874866816e-09,low
PMS2,1.4675145147759232,0.2257382570574391,low
PMS2CL,25.750632628978146,3.884996489753101e-07,low
PMS2L2,135.86630502563494,2.134279077309805e-31,low
PNPLA8,0.042508646690256176,0.8366532378594276,high
PODXL,21.969018398927027,2.7708741816341438e-06,low
POLD2,28.24368750607424,1.0696289037905622e-07,low
POLM,17.940671995551494,2.278985680702736e-05,low
POLR2J,48.41503830651756,3.449130118249918e-12,low
POLR2J2,1.1728902784432904,0.27880816105755296,high
POLR2J3,0.052329746295834235,0.8190578214715707,low
POLR2J4,42.44101582436045,7.284626020175926e-11,low
POM121,21.06422591936615,4.441430808202652e-06,high
POM121C,47.91088162566244,4.4603918444539874e-12,low
POM121L12,0.0015250645769647698,0.9688488702505846,high
POMZP3,17.066855951203888,3.608663529229359e-05,low
PON1,74.76160783140578,5.311257371423532e-18,high
PON2,6.569682615449077,0.010373044758890688,low
PON3,32.77906094561072,1.0325107395090375e-08,high
POP7,35.055207313709495,3.204887726059773e-09,low
POR,71.37333656550645,2.956404359037903e-17,low
POT1,34.975652308163816,3.338539340125041e-09,high
POU6F2,0.9374526166789233,0.33293382564069685,low
PPIA,92.97399670190153,5.298594861301122e-22,low
PPP1R3A,0.008122597724578072,0.9281875209872267,high
PPP1R9A,76.73513008549367,1.9549471886095628e-18,high
PRKAG2,48.48931361922544,3.3209361466383683e-12,high
PRKAR1B,3.1657924351807143,0.0751959350465484,low
PRKAR2B,0.21075092008496918,0.6461794762055529,low
PRKRIP1,13.45981683437694,0.00024372755030500155,low
PRPS1L1,17.64928015037718,2.656157857229426e-05,high
PRR15,24.234164631629337,8.530556212332071e-07,low
PRRT4,12.556605564471615,0.00039480824070066976,high
PRSS1,0.027327268916961828,0.8687002910123036,low
PRSS37,33.29923674491388,7.901364483434849e-09,high
PSMA2,92.2213661785415,7.7503464658125815e-22,low
PSMC2,119.02041129363474,1.0365736060024095e-27,low
PSMG3,52.26852716609576,4.840707553692965e-13,low
PSPH,66.97489605185648,2.749866478845219e-16,low
PTCD1,26.484618826526802,2.656448421961974e-07,low
PTN,63.700948318779616,1.4481485559124454e-15,low
PTPN12,99.24166079102362,2.2349572066551848e-23,low
PTPRN2,13.37850798678441,0.0002545241235904712,high
PTPRZ1,0.5507574158067703,0.4580083795201667,high
PURB,4.556011111155108,0.032803389556424555,high
PUS7,53.85626929946868,2.1570570527345595e-13,low
PVRIG,1.4736200857428066,0.22477539317347947,low
RAB19,8.77935091860996,0.0030465958901126932,low
RABGEF1,17.604833407089284,2.7189641848839025e-05,low
RABL5,110.39806076534697,8.016346545786087e-26,low
RAC1,25.36201228264669,4.75184078558297e-07,low
RADIL,17.410772696709515,3.0111453455076917e-05,low
